fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_return,train_pf,train_trades,valid_return,valid_pf,valid_trades,valid_win_rate,valid_payoff,valid_dd,rank_pf,ok
20,96,64,2.4,6.0,96,14,0.013853557098484213,1.735165951662955,69,-0.0008583821048754862,0.40962644339394355,5,0.4,0.6144396650909153,0.0007317278789761794,0.40962644339394355,False
16,96,64,2.4,6.0,96,14,0.012000732017041589,1.5590863385945732,75,-0.0008583821048754862,0.40962644339394355,5,0.4,0.6144396650909153,0.0007317278789761794,0.40962644339394355,False
20,96,64,2.4,5.0,96,14,0.011366157010040621,1.5749134408183463,72,-0.0008583821048754862,0.40962644339394355,5,0.4,0.6144396650909153,0.0007317278789761794,0.40962644339394355,False
16,96,64,2.4,5.0,96,14,0.01017958813584946,1.4446791664486929,79,-0.0008583821048754862,0.40962644339394355,5,0.4,0.6144396650909153,0.0007317278789761794,0.40962644339394355,False
8,48,24,2.4,4.0,96,14,0.010276377421830234,1.2180668737765046,150,-0.0048857280644354776,0.3978665628067141,23,0.21739130434782608,1.4323196261041709,0.006956695075345398,0.3978665628067141,False
16,96,64,2.8,6.0,96,14,0.013682197162117016,1.7595448476321305,74,-0.0009095274987707686,0.3784542962231099,6,0.5,0.37845429622310983,0.0009770992953996658,0.3784542962231099,False
16,96,64,2.8,5.0,96,14,0.013549490291574774,1.7322965903522587,75,-0.0009095274987707686,0.3784542962231099,6,0.5,0.37845429622310983,0.0009770992953996658,0.3784542962231099,False
16,96,64,3.2,4.0,64,14,-0.0019402418763793013,0.9164970285789741,90,-0.0006989047634980885,0.3782912330034437,6,0.3333333333333333,0.7565824660068874,0.0011240082970327768,0.3782912330034437,False
8,48,24,2.8,3.5,64,14,-0.0022056323443445753,0.9468605026052167,141,-0.0032395411142289677,0.3749523655112437,15,0.26666666666666666,1.0311190051559203,0.004283669358655454,0.3749523655112437,False
8,48,24,3.2,4.0,96,14,0.010023960606253981,1.2649561664351594,142,-0.003618626204092963,0.37291173719466597,20,0.3,0.8701273867875539,0.0049911428377083615,0.37291173719466597,False
20,96,64,2.4,4.0,64,14,0.0014963446580002762,1.0594137650655187,86,-0.0009173281848311271,0.370756587585788,5,0.4,0.5561348813786821,0.0009715814151601968,0.370756587585788,False
16,96,64,2.4,4.0,64,14,-0.0012625353252512241,0.9559274168712479,94,-0.0009173281848311271,0.370756587585788,5,0.4,0.5561348813786821,0.0009715814151601968,0.370756587585788,False
8,48,24,3.2,4.0,48,14,-0.0074931610290882794,0.8250804238937629,177,-0.003895073350803817,0.3670005745118385,24,0.20833333333333334,1.3946021831449862,0.0061321422130230716,0.3670005745118385,False
